SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
ADI - MAN,23.023508,72.601298,11.28477,495/2042,ADI  PL-3,,,ADI,,4,
ADI - MAN,23.023045,72.601378,6.575802,495/1028,ADI  PL-3,,,ADI,,4,
ADI - MAN,23.022782,72.601453,7.14608,495/2022,,,,ADI,,4,
ADI - MAN,23.022404,72.601471,13.46438,495/04,Mast on DN Side,T -O No 406 & S-I,,ADI,,4,
ADI - MAN,23.021967,72.601567,11.75147,495/02,Mast on DN Side,DIAMOND X-ing,,ADI,,4,
ADI - MAN,23.021783,72.601701,6.098503,494/46,Mast on DN Side,DIAMOND X-ing 424,,ADI,,4,
ADI - MAN,23.021329,72.601728,0.3045959,494/43,,T-Out No 425,,ADI,,4,
ADI - MAN,23.02108,72.60188,4.305229,494/41,ROB Gomtipur,T-Out No 430,,ADI,,4,
ADI - MAN,23.020696,72.602009,0.3658905,494/37,ROB Gomtipur &S-179,T-Out No 431,,ADI,,4,
ADI - MAN,23.020462,72.602221,16.07821,494/35,,X-Over  No 461,,ADI,,4,
ADI - MAN,23.020105,72.602355,43.06974,494/33,ADI/SSP,X-Over  No 468,,ADI,,4,
ADI - MAN,23.019757,72.602425,32.84809,494/29,ADI/SSP,X-Over  No 467,,ADI,,4,
ADI - MAN,23.019476,72.602431,24.96358,494/27,,X-Over  No 471 & BWA,,ADI,,4,
ADI - MAN,23.019155,72.602629,15.67032,494/25,, BWA,,ADI,,4,
ADI - MAN,23.01885,72.602759,12.73655,494/23A,,IOL  ADI/SSP,,ADI,,4,
ADI - MAN,23.018508,72.602835,0.08640289,494/21A,,IOL  ADI/SSP,,ADI,,4,
ADI - MAN,23.018163,72.602993,1.616985,494/19,,IOL  ADI/SSP,,ADI,,4,
ADI - MAN,23.017789,72.603092,4.120773,494/17,,X-Over No 477,,ADI,,4,
ADI - MAN,23.017623,72.603157,-0.6085243,494/15A,,X-Over No 478,,ADI,,4,
ADI - MAN,23.017285,72.60335,-11.70154,494/13,SEJ,,,ADI,,4,
ADI - MAN,23.01674,72.603518,-4.417946,494/11,,FTA,,ADI,,4,
ADI - MAN,23.016148,72.603816,-0.8216689,494/09,,,,ADI,,4,
ADI - MAN,23.015713,72.604059,-0.6574402,494/07,,,,ADI,,4,
ADI - MAN,23.015036,72.604242,0.562397,494/05,,,,ADI,,4,
ADI - MAN,23.014647,72.604627,4.810894,494/03,,,,ADI,,4,
ADI - MAN,23.014803,72.6051,5.20537,494/01A,,,,ADI,,4,
ADI - MAN,23.014803,72.6051,5.20537,493/43,Deisel Shed,ACA,,ADI,,4,
ADI - MAN,23.014803,72.6051,5.20537,493/41,Curve No 16,ACC,,ADI,,4,
ADI - MAN,23.012298,72.605612,-6.793324,493/39,Curve No 16,ACA,,ADI,,4,
ADI - MAN,23.011792,72.605819,-8.520805,493/37,S-12,,,ADI,,4,
ADI - MAN,23.011172,72.606026,-11.957,493/35,,,,ADI,,4,
ADI - MAN,23.010602,72.606289,-18.2834,493/33,SEJ,,,ADI,,4,
ADI - MAN,23.010246,72.606447,-22.13352,493/31A,SEJ & Curve No 15,,,ADI,,4,
ADI - MAN,23.009721,72.606701,-30.49035,493/29,Curve No 15,T-Out No 125,,ADI,,4,
ADI - MAN,23.009356,72.606779,-26.49943,493/27,Curve No 15,BWA & UIOL,,ADI,,4,
ADI - MAN,23.008861,72.607015,-14.35857,493/21,, IOL of SM-167 & BWA,,ADI,,4,
ADI - MAN,23.008299,72.607308,-13.60702,493/19,, IOL of SM-167 ,,ADI,,4,
ADI - MAN,23.007818,72.607717,33.86912,493/15,ANUPAM ROB, BWA ,,ADI,,4,
ADI - MAN,23.007366,72.607726,9.186626,493/11,ANUPAM ROB, X-OVER NO. 105,,ADI,,4,
ADI - MAN,23.007178,72.607813,8.305229,493/09B,DETC SHED KKF,,,ADI,,4,
ADI - MAN,23.006877,72.60789,9.56768,493/09A,DETC SHED KKF,X-OVER NO. 102,,ADI,,4,
ADI - MAN,23.006537,72.608116,8.710102,493/07,,BWA,,ADI,,4,
ADI - MAN,23.006074,72.608266,4.984581,493/05,SEJ,DETC SHED PT. 103,,ADI,,4,
ADI - MAN,23.005528,72.608559,6.430264,493/01,,,,ADI,,4,
ADI - MAN,23.005006,72.608788,2.623951,492/29,,,,ADI,,4,
ADI - MAN,23.004489,72.608993,2.960297,492/27,OHE DEPOT,,,ADI,,4,
ADI - MAN,23.003878,72.609278,5.669567,492/25,,,,ADI,,4,
ADI - MAN,23.003281,72.609554,4.528923,492/23,,,,ADI,,4,
ADI - MAN,23.00268,72.609774,4.249329,492/21,,BWA,,ADI,,4,
ADI - MAN,23.00213,72.610053,6.174335,492/19,,IOL SM- 165,,ADI,,4,
ADI - MAN,23.001502,72.610293,4.381298,492/17,S-492 15,IOL ,,ADI,,4,
ADI - MAN,23.000922,72.610596,1.966297,492/15,,BWA,,ADI,,4,
ADI - MAN,23.000338,72.610843,0.4742088,492/13,MAN ROB MAN PL-2,,,ADI,,4,
ADI - MAN,22.999719,72.611132,1.362061,492/11,MAN PL-2,,,ADI,,4,
ADI - MAN,22.99931,72.611411,2.621349,492/09,MAN PL-2,,,ADI,,4,
ADI - MAN,22.998544,72.61165,4.929047,492/07,MAN PL-2 FOB,,,ADI,,4,
ADI - MAN,22.998222,72.611803,-2.269634,492/05,MAN PL-2 FOB,,,ADI,,4,
ADI - MAN,22.99777,72.612049,-2.18655,492/03,MAN PL-2 ,,,ADI,,4,
ADI - MAN,22.997316,72.612235,-1.901085,492/01,MAN PL-2 ,,,ADI,,4,
MAN - VTA,22.996689,72.612545,2.651722,491/27,MAN PL-2,ACA,,ADI,,4,
MAN - VTA,22.996212,72.612758,2.204781,491/25,S- A49123,ACC,,ADI,,4,
MAN - VTA,22.995596,72.613003,-2.036621,491/23,,ACA,,ADI,,4,
MAN - VTA,22.995223,72.613209,0.3137169,491/21A,LC- 308,,,ADI,,4,
MAN - VTA,22.994729,72.613365,-1.618706,491/ 21,,,,ADI,,4,
MAN - VTA,22.994391,72.613518,2.478764,491/19,,LC - AT,,ADI,,4,
MAN - VTA,22.993823,72.613783,-1.294155,491/17,,,,ADI,,4,
MAN - VTA,22.993229,72.614058,-2.209946,491/15,,,,ADI,,4,
MAN - VTA,22.992619,72.614397,0.6131516,491/13,,,,ADI,,4,
MAN - VTA,22.992013,72.614655,0.580719,491/11,,FTA,,ADI,,4,
MAN - VTA,22.991394,72.614877,-4.901257,491/09,,UIOL,,ADI,,4,
MAN - VTA,22.990799,72.615162,-2.435146,491/07,,UIOL,,ADI,,4,
MAN - VTA,22.990197,72.615469,2.782585,491/05,,BWA,,ADI,,4,
MAN - VTA,22.989615,72.61572,2.124783,491/03,S- A 49101,,,ADI,,4,
