Record ID ,Division,SectionID,PWI ,OHEMas,TRDFeature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity ,Speed,Satellites,ModifiedDate
1,ADI,CLDY-SBT,,505/37,T-OUT,,,,23.07736,72.54877,14.05128,,,8,03-03-2018 14:00
2,ADI,CLDY-SBT,,505/35,X-OVER,,,,23.07753,72.54927,13.95984,,,9,03-03-2018 13:58
3,ADI,CLDY-SBT,,505/33,,,,,23.07777,72.54978,13.04544,,,8,03-03-2018 13:56
4,ADI,CLDY-SBT,,505/31,ATD,,,,23.078,72.55024,13.35024,,,10,03-03-2018 13:54
5,ADI,CLDY-SBT,,505/29,,,,,23.07814,72.55066,14.9352,,,10,03-03-2018 13:53
6,ADI,CLDY-SBT,,505/27,ATD,,,,23.07837,72.55108,15.11808,,,10,03-03-2018 13:52
7,ADI,CLDY-SBT,,505/25,IOL,,,,23.07849,72.55148,18.83664,,,9,03-03-2018 13:51
8,ADI,CLDY-SBT,,505/23,SM 230,,,,23.07872,72.55206,17.46504,,,10,03-03-2018 13:11
9,ADI,CLDY-SBT,,505/21,ATD,,,,23.07892,72.55249,18.10512,,,9,03-03-2018 13:10
10,ADI,CLDY-SBT,,505/19,,ROB,,,23.07913,72.553,17.40408,,,9,03-03-2018 13:08
11,ADI,CLDY-SBT,,505/17,,,,,23.07936,72.55355,18.4404,,,10,03-03-2018 13:06
12,ADI,CLDY-SBT,,505/15,,,,,23.07961,72.55417,19.5072,,,10,03-03-2018 13:05
13,ADI,CLDY-SBT,,505/13,,,,,23.07988,72.55476,16.55064,,,10,03-03-2018 13:03
14,ADI,CLDY-SBT,,505/11,,,,,23.0801,72.55529,17.55648,,,10,03-03-2018 13:02
15,ADI,CLDY-SBT,,505/9,,,,,23.08026,72.55571,17.03832,,,9,03-03-2018 13:00
16,ADI,CLDY-SBT,,505/7,,,,,23.08041,72.55601,16.97736,,,8,03-03-2018 13:00
17,ADI,CLDY-SBT,,505/5,,ROB,,,23.08055,72.55619,17.49552,,,9,03-03-2018 12:58
18,ADI,CLDY-SBT,,505/3,,,,,23.08069,72.55662,19.08048,,,9,03-03-2018 12:57
19,ADI,CLDY-SBT,,505/1,,,,,23.0809,72.55716,17.55648,,,10,03-03-2018 12:55
20,ADI,CLDY-SBT,,504/29,,,,,23.08112,72.55768,18.22704,,,8,03-03-2018 12:54
21,ADI,CLDY-SBT,,504/27,,,,,23.0814,72.55827,17.73936,,,10,03-03-2018 12:52
22,ADI,CLDY-SBT,,504/25,,,,,23.08162,72.55892,15.30096,,,8,03-03-2018 12:50
23,ADI,CLDY-SBT,,504/23,,,,,23.08191,72.55956,14.38656,,,9,03-03-2018 12:48
24,ADI,CLDY-SBT,,504/21,,,,,23.08218,72.56016,16.002,,,8,03-03-2018 12:47
