Record ID,Division,SectionID,PWI,OHEMas,TRDFeature,EngFeature,Remark ,Remark ,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
1,ADI,GNC-KLL,,19-Sep,A,,,,23.24248,72.63472,23.37816,,,10,03-11-2018 10:43
2,ADI,GNC-KLL,,19-Aug,,,,,23.24286,72.63494,25.05456,,,7,03-11-2018 10:42
3,ADI,GNC-KLL,,19-Jul,T-OUT,,,,23.24329,72.63518,25.17648,,,7,03-11-2018 10:41
4,ADI,GNC-KLL,,19-Jun,,,,,23.24369,72.63544,25.26792,,,9,03-11-2018 10:40
5,ADI,GNC-KLL,,19-May,,,,,23.24416,72.63578,26.79192,,,10,03-11-2018 10:39
6,ADI,GNC-KLL,,19-Apr,,,,,23.24462,72.63606,27.40152,,,9,03-11-2018 10:37
7,ADI,GNC-KLL,,19-Mar,,,,,23.24505,72.63636,25.38984,,,9,03-11-2018 10:36
8,ADI,GNC-KLL,,19-Feb,,,,,23.24549,72.63671,21.85416,,,10,03-11-2018 10:35
9,ADI,GNC-KLL,,19-Jan,IOL,,,,23.24602,72.63703,18.16608,,,8,03-07-2018 15:01
10,ADI,GNC-KLL,,18/16,ATD,,,,23.24654,72.63731,21.336,,,7,03-07-2018 14:59
11,ADI,GNC-KLL,,18/15,SM 240,,,,23.24706,72.63772,21.15312,,,9,03-07-2018 14:58
12,ADI,GNC-KLL,,18/14,,,,,23.24757,72.63806,27.82824,,,8,03-07-2018 14:57
13,ADI,GNC-KLL,,18/13,ATD,,,,23.24804,72.63836,30.75432,,,7,03-07-2018 14:55
14,ADI,GNC-KLL,,18-Dec,,,,,23.2486,72.63867,29.62656,,,8,03-07-2018 14:53
15,ADI,GNC-KLL,,18-Nov,,,,,23.24909,72.63897,31.242,,,8,03-07-2018 14:52
16,ADI,GNC-KLL,,18-Oct,,,,,23.24957,72.63935,29.93136,,,8,03-07-2018 14:51
17,ADI,GNC-KLL,,18-Sep,,,,,23.2501,72.63963,25.38984,,,8,03-07-2018 14:50
18,ADI,GNC-KLL,,18-Aug,,LC NO 11,,,23.25056,72.63993,25.78608,,,8,03-07-2018 14:48
19,ADI,GNC-KLL,,18-Jul,ACA,,,,23.25097,72.64017,23.25624,,,8,03-07-2018 14:47
20,ADI,GNC-KLL,,18-Jun,ACC,,,,23.25138,72.64046,23.86584,,,7,03-07-2018 14:46
21,ADI,GNC-KLL,,18-May,ACA,,,,23.25185,72.64074,22.89048,,,8,03-07-2018 14:44
22,ADI,GNC-KLL,,18-Apr,,,,,23.25236,72.6411,12.6492,,,8,03-07-2018 14:43
23,ADI,GNC-KLL,,18-Mar,,,,,23.2529,72.64144,13.99032,,,8,03-07-2018 14:41
