Record ID,DIVISION ,SectionID,PWI ,OHEMas,OHE Feature ,Eng Feature,,,Latitude,Longitude,Altitude,,,Satellites
1,BRC,ND - GTE,,450/10,ACA,,,,22.697051,72.854218,-28.24977,,,4
2,BRC,ND - GTE,,450/12A,,,,,22.6974,72.853899,-16.41957,,,4
3,BRC,ND - GTE,,450/14,,,,,22.69772,72.853628,-13.73895,,,4
4,BRC,ND - GTE,,450/16,,,,,22.698017,72.853377,-16.21301,,,4
5,BRC,ND - GTE,,450/18,,,,,22.698425,72.853034,-17.33742,,,4
6,BRC,ND - GTE,,450/20,,,,,22.698811,72.852719,-16.35745,,,4
7,BRC,ND - GTE,,450/20 A,,ROB,,,22.69924,72.852368,-15.63156,,,4
8,BRC,ND - GTE,,450/24,BWA,ROB,,,22.69954,72.85212,-15.07903,,,4
9,BRC,ND - GTE,,450/24A,SM 144A  IOL,SEJ -19,,,22.699869,72.85184,-14.78022,,,4
10,BRC,ND - GTE,,450/26,SM 144A  IOL,,,,22.700251,72.85152,-14.00897,,,4
11,BRC,ND - GTE,,450/30,BWA,,,,22.700769,72.851095,-14.20005,,,4
12,BRC,ND - GTE,,450/34,,,,,22.701291,72.850656,-14.32072,,,4
13,BRC,ND - GTE,,450/36,,,,,22.70168,72.850335,-15.14658,,,4
14,BRC,ND - GTE,,450/36A,,,,,22.70192,72.850142,-16.12848,,,4
15,BRC,ND - GTE,,450/38,,,,,22.702328,72.849803,-16.9758,,,4
16,BRC,ND - GTE,,451/02,X-O No 116,,,,22.702823,72.849399,-16.52922,,,4
17,BRC,ND - GTE,,451/04,,,,,22.703305,72.849005,-17.17005,,,4
18,BRC,ND - GTE,,451/06,BWA,LC - 275,,,22.703754,72.848633,-13.08544,,,4
19,BRC,ND - GTE,,451/08,ACA,LC - 275,,,22.7042,72.848267,-17.30214,,,4
20,BRC,ND - GTE,,451/12,ACC,,,,22.704696,72.847847,-17.65403,,,4
21,BRC,ND - GTE,,451/14,ACA,,,,22.705034,72.847572,-17.27869,,,4
22,BRC,ND - GTE,,451/16,,,,,22.705521,72.847182,-19.09898,,,4
23,BRC,ND - GTE,,451/18,,,,,22.706045,72.846751,-18.78789,,,4
24,BRC,ND - GTE,,451/20,,Signal  B-37,,,22.706483,72.846367,-17.88375,,,4
25,BRC,ND - GTE,,451/22,,SEJ - 20,,,22.707008,72.84594,-16.68864,,,4
26,BRC,ND - GTE,,451/24,,,,,22.707525,72.845516,-17.18286,,,4
27,BRC,ND - GTE,,451/24 A,BWA,SEJ No 1 DN,,,22.707899,72.845208,-15.71104,,,4
28,BRC,ND - GTE,,451/26,UIOL & 500m C/B,,,,22.708305,72.84488,-15.63828,,,4
29,BRC,ND - GTE,,451/28,UIOL BT,,,,22.708541,72.844683,-15.3304,,,4
