Record ID ,Division,Section,PWI,OHEMas,TRDFeature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
1,ADI,SBT-CLDY,,501/2 DDA,,,,,23.07326,72.58675,17.34312,,,11,03-03-2018 09:54
2,ADI,SBT-CLDY,,501/4 DDA,,,,,23.07385,72.58657,15.94104,,,11,03-03-2018 10:01
3,ADI,SBT-CLDY,,501/6 DDA,,ROB ,,,23.07436,72.58643,16.52016,,,9,03-03-2018 10:04
4,ADI,SBT-CLDY,,501/10 DA,,,,,23.07495,72.58629,16.24584,,,10,03-03-2018 10:06
5,ADI,SBT-CLDY,,501/12 DDA,,,,,23.07542,72.58615,16.85544,,,8,03-03-2018 10:09
6,ADI,SBT-CLDY,,501/14,T-OUT,,,,23.0759,72.58604,16.4592,,,10,03-03-2018 10:18
7,ADI,SBT-CLDY,,501/16,,,,,23.07655,72.5859,17.28216,,,10,03-03-2018 10:20
8,ADI,SBT-CLDY,,501/18,,,,,23.07703,72.58568,15.72768,,,8,03-03-2018 10:22
9,ADI,SBT-CLDY,,501/20,,,,,23.07751,72.58559,15.45336,,,9,03-03-2018 10:25
10,ADI,SBT-CLDY,,501/24,,,,,23.07806,72.58539,16.1544,,,11,03-03-2018 10:28
11,ADI,SBT-CLDY,,501/26,,,,,23.07858,72.58519,17.0688,,,11,03-03-2018 10:30
12,ADI,SBT-CLDY,,501/28,,,,,23.079,72.58498,17.64792,,,11,03-03-2018 10:32
13,ADI,SBT-CLDY,,501/30,,,,,23.07942,72.58477,15.3924,,,9,03-03-2018 10:33
14,ADI,SBT-CLDY,,501/32,,,,,23.07978,72.58452,16.24584,,,8,03-03-2018 10:35
15,ADI,SBT-CLDY,,501/34,,,,,23.08023,72.58424,18.65376,,,9,03-03-2018 10:48
16,ADI,SBT-CLDY,,501/36,,,,,23.08076,72.58386,17.95272,,,8,03-03-2018 10:50
17,ADI,SBT-CLDY,,501/38,,,,,23.0813,72.58351,17.92224,,,10,03-03-2018 10:52
18,ADI,SBT-CLDY,,502/2,,,,,23.08182,72.58312,17.3736,,,9,03-03-2018 10:53
19,ADI,SBT-CLDY,,502/4,,,,,23.08234,72.58278,18.77568,,,9,03-03-2018 10:55
20,ADI,SBT-CLDY,,502/6,,,,,23.08269,72.58251,18.8976,,,9,03-03-2018 10:57
21,ADI,SBT-CLDY,,502/8,,,,,23.083,72.58227,19.44624,,,10,03-03-2018 10:58
22,ADI,SBT-CLDY,,502/10,,,,,23.08324,72.58212,17.31264,,,10,03-03-2018 10:59
23,ADI,SBT-CLDY,,502/14,,,,,23.08348,72.58186,16.27632,,,10,03-03-2018 11:01
24,ADI,SBT-CLDY,,502/16,,,,,23.08364,72.58163,17.73936,,,10,03-03-2018 11:02
25,ADI,SBT-CLDY,,502/18,,,,,23.08389,72.58136,16.97736,,,10,03-03-2018 11:04
26,ADI,SBT-CLDY,,502/20,,,,,23.08408,72.58106,16.82496,,,10,03-03-2018 11:05
27,ADI,SBT-CLDY,,502/22,,,,,23.08425,72.58068,16.88592,,,8,03-03-2018 11:06
28,ADI,SBT-CLDY,,502/24,,,,,23.08447,72.58028,16.39824,,,9,03-03-2018 11:08
29,ADI,SBT-CLDY,,502/26,,,,,23.08462,72.57982,18.86712,,,11,03-03-2018 11:09
30,ADI,SBT-CLDY,,502/28,,,,,23.08484,72.57931,18.10512,,,11,03-03-2018 11:11
31,ADI,SBT-CLDY,,502/30,ATD,,,,23.08504,72.57872,15.05712,,,10,03-03-2018 11:12
