Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
1,ADI,SBT-ADI,,500/39 L3,,,,,23.07288,72.58693,16.58112,,,10,3/20/2018 12:49
2,ADI,SBT-ADI,,500/38 L2,ACC,FOB,,,23.0727,72.58694,15.57528,,,11,3/20/2018 12:48
3,ADI,SBT-ADI,,500/37  L3,,FOB,,,23.07228,72.5871,16.39824,,,11,3/20/2018 12:47
4,ADI,SBT-ADI,,500/36 L2,ACA,,,,23.07215,72.58711,16.1544,,,8,3/20/2018 12:47
5,ADI,SBT-ADI,,500/35 L3,,,,,23.0717,72.58726,16.6116,,,9,3/20/2018 12:46
6,ADI,SBT-ADI,,500/34 L2,,,,,23.0716,72.58723,18.04416,,,9,3/20/2018 12:45
7,ADI,SBT-ADI,,500/32 DDA L2,,,,,23.07112,72.58742,16.82496,,,10,3/20/2018 12:43
8,ADI,SBT-ADI,,500/32 DA L1,,,,,23.07112,72.58742,16.82496,,,7,3/20/2018 12:43
9,ADI,SBT-ADI,,500/31 DA L3,,,,,23.07111,72.58743,16.70304,,,9,3/20/2018 12:42
10,ADI,SBT-ADI,,500/29 L3,ATD,,,,23.07063,72.58758,17.8308,,,8,3/20/2018 12:41
11,ADI,SBT-ADI,,500/28 L2,,,,,23.07067,72.58755,12.4968,,,10,3/20/2018 12:00
12,ADI,SBT-ADI,,500/27 L3,IOL,,,,23.0702,72.58765,14.7828,,,9,3/20/2018 11:59
13,ADI,SBT-ADI,,500/26 L2,,,,,23.07007,72.58768,13.716,,,10,3/20/2018 11:59
14,ADI,SBT-ADI,,500/25 L2,SM 175,,,,23.06966,72.58776,19.6596,,,10,3/20/2018 11:57
15,ADI,SBT-ADI,,500/24 L2,,ROB ,,,23.06944,72.58784,18.07464,,,8,3/20/2018 11:57
16,ADI,SBT-ADI,,500/22 DA L2,,,,,23.06886,72.58796,14.7828,,,10,3/20/2018 11:55
17,ADI,SBT-ADI,,500/22 L1,,,,,23.06885,72.58794,15.72768,,,10,3/20/2018 11:55
18,ADI,SBT-ADI,,500/20 L1,T-OUT,POWER LINE ROSSING,,,23.06839,72.58809,16.88592,,,9,3/20/2018 11:52
19,ADI,SBT-ADI,,500/19 DA L2,T-OUT,,,,23.06845,72.58816,16.3068,,,10,3/20/2018 11:53
20,ADI,SBT-ADI,,500/18 L1,"ATD,IOL",POWER LINE ROSSING,,,23.0679,72.58827,17.31264,,,10,3/20/2018 11:51
21,ADI,SBT-ADI,,500/17 DA L2,T-OUT,,,,23.0679,72.58831,17.43456,,,10,3/20/2018 11:51
22,ADI,SBT-ADI,,500/15 L2,"ATD, X-OVER",,,,23.06741,72.58842,16.42872,,,10,3/20/2018 11:49
23,ADI,SBT-ADI,,500/14 L1,"ATD,IOL",,,,23.06737,72.5884,16.33728,,,10,3/20/2018 11:49
24,ADI,SBT-ADI,,500/13 L3,ATD,,,,23.06906,72.58797,16.36776,,,9,3/20/2018 11:56
25,ADI,SBT-ADI,,500/13 L2,,,,,23.06715,72.58851,16.33728,,,10,3/20/2018 11:48
26,ADI,SBT-ADI,,500/12 L1,"T-OUT,SM 174",,,,23.06682,72.5886,17.3736,,,9,3/20/2018 11:47
27,ADI,SBT-ADI,,500/11 L2,T-OUT,,,,23.06672,72.58864,17.0688,,,10,3/20/2018 11:45
28,ADI,SBT-ADI,,500/9 L2,ACA,,,,23.06632,72.58874,16.88592,,,8,3/20/2018 11:44
29,ADI,SBT-ADI,,500/8 L1,,,,,23.06627,72.5887,16.64208,,,9,3/20/2018 11:43
30,ADI,SBT-ADI,,500/6 L1,"ATD , IOL",,,,23.06588,72.58879,15.60576,,,8,3/20/2018 11:42
31,ADI,SBT-ADI,,500/5 L3,X-OVER,,,,23.06587,72.58885,16.4592,,,7,3/20/2018 11:41
